,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
193,RED RIVER,1100,2978,124,106,68,68,0,0,0,147,113,1,122,92,82,19,103,15,3173,29,9.1,79,19,24.1%,35,9,,,37,11.7,16,37,20,29,0,16,1,0,1,17,19,304730,0,1,0,8,6542.00,37,1,427.45,30,3173,711,2133,320,2,7,,,,,,,2481,2,144,4,48,11,1,3173,0,1,0,0,0,0,1,3,23,0,0,0,23,,,
194,REEVES,970,1700,91,81,72,70,1,1,1,99,90,0,147,99,88,20,127,9,2795,45,16.1,84,22,26.2%,49,10,,,24,8.6,10,25,13,23,0,10,0,1,0,14,12,63453,0,0,1,5,7366.50,26,2,343.28,35,2795,42,342,2405,0,6,,,,,,,2247,3,179,3,36,4,0,2795,0,1,0,0,0,0,1,0,17,0,0,0,17,,,
195,REFUGIO,630,1376,32,23,10,15,0,0,0,87,81,0,116,68,49,34,82,7,1704,45,26.4,63,29,46.0%,20,3,1,0,12,7.0,10,12,12,12,0,10,2,0,0,5,12,43017,0,1,1,0,0.00,12,0,0.00,44,1704,140,617,925,1,21,,,,,,,1385,2,79,0,0,4,2,1704,0,2,0,0,0,0,2,5,25,0,0,0,25,,,
196,ROBERTS,78,215,1,2,1,1,1,0,0,7,7,0,12,8,6,0,12,0,183,4,21.9,6,2,33.3%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,183,0,175,8,0,0,,,,,,,149,0,0,0,0,1,0,183,0,0,0,0,0,0,0,0,2,0,0,0,2,,,
197,ROBERTSON,1327,2757,73,52,32,33,1,1,0,212,185,1,229,150,118,42,187,9,4460,76,17.0,143,47,32.9%,37,8,,,26,5.8,12,26,14,21,0,12,1,5,4,2,14,222410,0,0,2,1,316.28,26,2,54.00,67,4460,1314,2047,1075,3,21,,,,,,,3517,4,336,2,24,3,1,4460,0,3,0,0,0,0,3,4,106,0,0,0,106,,,
198,ROCKWALL,7987,9105,157,123,90,59,5,4,0,482,426,1,469,388,278,45,424,15,20662,69,3.3,289,43,14.9%,28,6,,,53,2.6,29,52,30,47,0,29,2,1,3,18,31,252094,0,8,1,29,16803.75,52,0,0.00,90,20662,823,14640,4834,29,336,,,,,,,15109,21,3126,7,84,14,4,20662,0,28,0,0,0,0,28,72,120,0,6,0,126,,,
199,RUNNELS,877,2160,95,87,68,70,0,0,0,151,131,0,152,111,101,45,107,8,2942,37,12.6,93,25,26.9%,17,7,,,40,13.6,10,44,34,23,0,10,5,3,3,8,36,537149,0,2,0,1,480.00,44,1,35.00,63,2942,27,1510,1390,4,11,,,,,,,2353,6,182,3,36,3,1,2942,0,4,0,0,0,0,4,10,23,0,0,0,23,,,
200,RUSK,4062,7797,285,240,160,227,3,2,0,448,408,3,637,447,419,100,537,52,11317,171,15.1,374,94,25.1%,50,17,1,0,103,9.1,51,99,53,90,0,52,2,6,3,40,53,534593,0,6,3,46,23665.35,99,28,2537.30,188,11317,2279,6613,2355,8,62,,,,,,,8914,12,893,4,48,12,3,11317,0,17,0,0,0,0,17,60,41,0,45,0,86,,,
201,SABINE,788,3252,119,113,95,105,1,1,0,91,84,2,132,95,60,15,117,2,2047,36,17.6,81,24,29.6%,24,4,,,18,8.8,3,16,15,13,0,3,1,2,2,8,15,118557,0,0,0,1,96.75,16,2,54.00,22,2047,236,1716,91,0,4,,,,,,,1608,1,100,0,0,2,0,2047,0,0,0,0,0,0,0,0,11,0,0,0,11,,,
202,SAN AUGUSTINE,738,2212,101,100,90,114,6,7,1,79,63,0,106,80,57,15,91,1,2172,25,11.5,60,13,21.7%,9,5,,,3,1.4,1,3,1,3,0,1,0,2,2,0,1,3833,0,2,0,4,2580.00,3,2,185.14,21,2172,933,1100,133,0,6,,,,,,,1757,4,194,0,0,0,0,2172,0,12,0,0,0,0,12,55,72,0,20,0,92,,,
203,SAN JACINTO,2104,5710,274,235,193,203,0,0,0,378,336,1,509,449,412,31,478,18,6055,56,9.2,302,33,10.9%,42,6,2,0,61,10.1,20,61,60,40,0,20,8,3,1,14,58,878496,2,1,4,23,7176.70,61,6,811.59,51,6055,1086,4512,413,4,40,,,,,,,4534,3,160,0,0,4,0,6055,0,11,0,0,0,0,11,27,32,0,1,0,33,,,
204,SAN PATRICIO,5717,7563,384,292,189,171,4,6,3,938,855,11,1430,1039,878,362,1068,34,21382,343,16.0,815,196,24.0%,325,77,1,0,100,4.7,27,99,78,85,0,28,3,15,0,48,76,885635,0,0,1,15,9614.10,99,35,6670.43,560,21382,634,7224,13302,19,203,,,,,,,16807,29,2069,3,36,18,1,21382,0,23,2,0,1,0,26,203,351,0,23,0,374,,,
205,SAN SABA,472,1270,32,31,22,32,0,0,0,48,45,0,61,43,40,9,52,5,1382,16,11.6,37,11,29.7%,22,1,,,13,9.4,1,13,5,5,0,1,0,0,2,2,6,201839,0,0,0,8,3756.06,13,1,508.95,21,1382,3,917,460,1,1,,,,,,,1105,1,31,1,12,1,3,1382,1,10,1,0,0,0,12,121,9,0,0,0,9,,,
206,SCHLEICHER,252,601,23,20,19,29,0,0,0,21,18,0,20,16,14,4,16,1,772,4,5.2,12,2,16.7%,0,0,,,2,2.6,1,2,2,2,0,2,0,0,0,0,2,22210,0,1,0,0,0.00,2,0,0.00,3,772,2,270,496,0,4,,,,,,,620,1,20,1,12,0,0,772,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
207,SCURRY,1328,2527,113,105,77,43,1,1,0,211,184,1,288,186,164,73,215,4,4120,92,22.3,166,56,33.7%,46,16,,,23,5.6,0,20,20,18,0,1,8,4,1,4,21,256637,1,2,0,3,6823.03,20,1,36.48,110,4120,143,2196,1773,1,7,,,,,,,3288,4,353,1,12,2,2,4120,0,9,0,0,0,0,9,26,43,0,0,0,43,,,
208,SHACKELFORD,261,657,33,27,21,20,0,0,0,35,32,0,40,29,26,1,39,0,825,10,12.1,20,6,30.0%,7,2,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,301.17,0,3,89.00,1,825,3,721,101,0,0,,,,,,,652,1,51,0,0,2,1,825,0,4,0,0,0,0,4,17,3,0,0,0,3,,,
209,SHELBY,2054,4442,171,167,140,70,0,0,0,289,211,2,333,269,259,38,295,16,6858,59,8.6,202,36,17.8%,18,1,,,66,9.6,21,63,56,53,0,21,3,6,5,23,56,499632,0,2,2,29,46416.15,63,6,811.36,64,6858,1665,3643,1529,3,18,,,,,,,5448,4,272,0,0,2,2,6858,1,28,0,0,0,0,29,151,78,0,0,0,78,,,
210,SHERMAN,264,552,5,7,7,5,0,0,0,12,12,0,31,19,19,5,26,0,782,12,15.3,17,3,17.6%,7,1,,,1,1.3,0,1,1,0,0,0,0,0,0,0,1,32790,0,1,0,1,162.50,1,0,0.00,5,782,0,493,286,1,2,,,,,,,590,1,51,0,0,1,1,782,0,1,0,0,0,0,1,3,3,0,2,0,5,,,
211,SMITH,16178,29602,1304,1105,871,963,48,48,8,1928,1600,14,2542,1990,1796,255,2287,99,53330,480,9.0,1538,302,19.6%,198,35,6,1,370,6.9,142,370,288,301,0,143,9,68,55,82,278,3201411,3,14,10,424,332683.55,370,17,1668.62,511,53330,10592,25358,16465,60,855,,,,,,,41419,88,8600,7,84,47,9,53330,10,129,3,0,3,1,146,634,363,0,60,78,501,,,
212,SOMERVELL,745,1215,21,14,12,13,0,0,0,75,70,0,97,61,52,11,86,7,2047,33,16.1,61,23,37.7%,9,4,,,14,6.8,7,11,10,13,0,7,0,3,0,3,12,136992,0,1,0,6,889.05,11,2,401.52,17,2047,7,1512,519,1,8,,,,,,,1553,4,178,1,12,0,2,2047,0,2,0,0,0,0,2,3,31,0,0,0,31,,,
213,STARR,4959,5962,263,211,106,147,2,1,0,458,423,7,664,385,328,240,424,44,24328,260,10.7,365,143,39.2%,275,40,,,108,4.4,53,106,95,86,0,55,5,0,2,33,96,1014388,0,2,0,12,5597.99,106,7,1438.63,496,24328,0,261,24011,6,50,,,,,,,19890,35,2057,4,48,2,8,24328,0,8,0,0,0,0,8,43,77,0,0,0,77,,,
214,STEPHENS,760,1827,139,95,78,50,0,0,0,141,116,1,139,93,76,20,119,0,2426,43,17.7,86,25,29.1%,23,5,,,13,5.4,0,12,11,12,0,0,5,0,1,6,11,181520,0,1,0,1,139.82,12,0,0.00,77,2426,38,1617,770,0,1,,,,,,,1988,1,152,1,12,5,2,2426,0,4,0,0,0,0,4,15,11,0,2,0,13,,,
215,STERLING,128,254,5,3,2,1,0,0,0,10,8,0,7,6,6,1,6,0,284,1,3.5,6,1,16.7%,7,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,1,284,1,162,121,0,0,,,,,,,226,0,0,1,12,0,0,284,0,1,0,0,0,0,1,4,2,0,0,0,2,,,
216,STONEWALL,124,404,16,13,7,1,0,0,0,6,5,0,9,2,2,4,5,0,337,6,17.8,6,5,83.3%,1,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,7,337,5,262,70,0,0,,,,,,,269,1,36,1,12,0,0,337,0,2,0,0,0,0,2,8,2,0,0,0,2,,,
217,SUTTON,375,775,11,9,7,11,0,0,0,38,33,0,38,37,37,2,36,2,1168,1,0.9,20,1,5.0%,4,4,,,4,3.4,2,4,3,4,0,3,0,0,0,1,3,17842,1,5,0,0,0.00,4,0,0.00,6,1168,2,419,746,0,1,,,,,,,921,2,63,1,12,1,1,1168,0,6,0,0,0,0,6,21,4,0,0,14,18,,,
218,SWISHER,633,1301,35,27,25,18,0,0,0,88,75,1,136,91,79,28,108,3,2133,38,17.8,69,21,30.4%,20,5,,,25,11.7,7,27,18,18,0,7,0,10,0,1,18,293116,0,1,0,0,0.00,27,0,0.00,37,2133,130,984,1018,0,1,,,,,,,1710,2,200,0,0,5,2,2133,0,6,0,0,0,0,6,22,3,0,0,0,3,,,
219,TARRANT,152409,150939,5372,4042,2340,1572,369,322,59,19364,17397,138,23083,16427,11752,3862,19221,636,491551,5888,12.0,13620,3537,26.0%,3146,789,8,1,2194,4.5,762,2085,1657,1770,12,784,126,221,245,614,1627,19138281,6,79,34,590,626250.87,2085,314,89265.62,7486,491551,74819,202082,185250,1212,28188,,,,,,,387882,670,74377,102,1213,578,773,491551,30,758,5,0,1,1,795,2453,1312,1060,296,0,2668,,,
220,TAYLOR,10271,15327,1441,1135,858,759,604,569,125,2020,1759,16,2862,2033,1667,587,2275,68,34551,745,21.6,1678,456,27.2%,373,94,1,0,318,9.2,111,297,222,248,0,116,27,21,30,87,220,2552711,1,27,2,134,91034.10,297,33,3186.08,875,34551,3180,20500,9961,53,857,,,,,,,28103,53,5412,2,24,62,44,34551,8,86,4,0,1,0,99,388,438,0,157,0,595,,,
221,TERRELL,92,308,6,6,3,7,0,0,0,2,1,0,5,3,3,2,3,0,155,2,12.9,3,1,33.3%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,2,155,0,66,86,1,2,,,,,,,104,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,2,0,0,0,2,,,
222,TERRY,975,1759,133,115,98,140,0,0,0,163,148,2,242,129,117,77,165,20,2977,104,34.9,138,54,39.1%,29,6,,,60,20.2,30,58,34,46,0,30,1,8,0,7,34,295664,0,2,0,7,8777.11,58,0,0.00,145,2977,144,1123,1690,3,17,,,,,,,2436,2,117,3,36,7,0,2977,0,3,0,0,0,0,3,8,37,0,0,0,37,,,
223,THROCKMORTON,135,474,11,8,5,9,0,0,0,30,19,0,21,15,9,5,16,0,397,6,15.1,11,2,18.2%,5,0,,,1,2.5,0,2,2,0,0,0,0,0,0,0,1,1351,0,0,0,0,0.00,2,0,0.00,7,397,0,329,67,0,1,,,,,,,311,1,12,0,0,0,0,397,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
224,TITUS,2416,3952,114,91,75,86,6,4,1,319,253,4,379,252,226,71,308,27,9204,117,12.7,223,68,30.5%,93,22,,,119,12.9,27,105,55,102,0,26,2,3,16,64,57,636447,0,2,1,31,23757.65,105,39,4026.88,127,9204,937,3459,4724,14,70,,,,,,,7084,9,1200,0,0,8,2,9204,0,7,0,0,0,0,7,22,72,0,0,0,72,,,
225,TOM GREEN,8070,13603,1553,1205,998,1084,1089,1043,75,1338,1186,13,1596,1222,1109,316,1280,117,26373,345,13.1,982,213,21.7%,227,51,,,503,19.1,174,479,379,343,0,173,29,51,39,68,383,5144581,0,24,4,216,233975.97,479,20,3400.05,673,26373,1234,12200,12552,34,353,,,,,,,21219,51,5016,4,48,48,24,26373,1,47,3,0,0,0,51,242,341,0,71,0,412,,,
226,TRAVIS,82311,71072,4158,3312,1453,1326,922,917,109,12461,10772,64,10746,7858,6975,1187,9559,403,235554,2483,10.5,6348,1491,23.5%,820,123,13,0,1403,6.0,627,1386,965,1116,1,614,30,143,183,310,959,11769652,3,46,32,704,1238058.00,1386,167,66731.36,2447,235554,26003,84603,111357,325,13266,,,,,,,192867,460,43479,48,576,257,168,235554,26,413,5,0,3,0,447,1394,811,1630,322,0,2763,,,
227,TRINITY,1117,4003,234,230,199,277,0,0,0,199,174,3,251,199,177,45,206,12,3148,50,15.9,139,30,21.6%,7,2,,,38,12.1,12,38,32,27,0,12,1,3,4,9,32,299234,1,1,1,7,2201.57,38,1,36.48,43,3148,606,2171,354,3,14,,,,,,,2509,6,372,0,0,0,0,3148,0,5,0,0,0,0,5,19,16,0,18,0,34,,,
228,TYLER,1678,4634,200,177,138,133,0,1,0,193,157,2,251,205,197,15,236,1,4661,34,7.3,140,25,17.9%,34,7,,,17,3.6,6,17,11,12,0,6,0,0,1,5,11,142756,0,3,1,1,2123.44,17,1,27.00,28,4661,636,3880,122,4,19,,,,,,,3605,7,368,3,36,1,0,4661,0,9,1,0,1,0,11,86,32,0,0,0,32,,,
229,UPSHUR,3113,5916,242,207,151,201,2,1,0,507,439,4,609,511,442,57,552,15,8977,91,10.1,382,63,16.5%,50,16,,,69,7.7,19,67,34,57,0,27,3,9,9,29,33,458772,0,2,2,33,16792.36,67,17,619.00,144,8977,1129,6754,1011,9,74,,,,,,,6935,9,584,3,36,12,0,8977,0,16,0,0,0,1,17,68,111,0,0,2,113,,,
230,UPTON,279,619,40,37,30,23,0,0,0,27,21,0,41,32,25,7,34,3,727,9,12.4,22,4,18.2%,6,5,,,8,11.0,3,10,7,4,0,3,0,0,0,1,7,84529,0,0,0,2,1657.18,10,1,803.95,31,727,4,300,422,1,0,,,,,,,604,1,20,0,0,0,0,727,0,1,0,0,0,0,1,3,1,0,0,0,1,,,
231,UVALDE,2133,3609,132,101,59,54,10,7,0,355,317,3,429,281,271,117,312,47,8641,138,16.0,246,76,30.9%,43,6,1,0,102,11.8,48,99,62,84,0,49,0,4,14,17,61,717595,0,2,0,9,6341.77,99,8,483.00,167,8641,17,1534,7043,10,37,,,,,,,7085,16,1106,1,12,9,2,8641,0,5,0,0,0,0,5,20,85,0,0,18,103,,,
232,VAL VERDE,3896,6046,276,202,148,128,4,1,0,329,300,4,430,363,347,29,401,3,14881,64,4.3,244,33,13.5%,43,3,,,48,3.2,8,47,29,39,0,12,2,8,13,6,29,404810,0,2,3,9,16000.00,47,2,54.00,76,14881,137,2176,12438,14,116,,,,,,,12011,17,1321,3,36,25,3,14881,1,11,0,0,0,0,12,16,576,0,16,386,978,,,
233,VAN ZANDT,4251,10266,365,295,202,182,1,1,0,638,558,4,676,502,456,92,584,53,12444,163,13.1,419,102,24.3%,103,25,,,189,15.2,70,168,127,158,0,66,6,25,14,62,128,1411662,0,9,3,48,48998.30,168,24,2206.70,158,12444,352,10215,1784,20,73,,,,,,,9524,14,1292,5,60,16,1,12444,0,42,0,0,0,0,42,151,132,0,0,0,132,,,
234,VICTORIA,7176,10629,426,331,178,107,13,11,3,1199,1040,9,1451,1179,1016,239,1212,49,24406,250,10.2,858,151,17.6%,179,35,1,1,206,8.4,79,202,141,165,0,79,7,30,32,32,141,1957530,5,13,1,38,37107.96,202,11,1685.91,314,24406,1719,7930,14480,16,261,,,,,,,19682,37,3024,22,262,22,13,24406,3,41,2,0,1,0,47,254,631,0,13,0,644,,,
235,WALKER,5546,6495,156,124,86,94,1,0,0,413,345,2,486,363,263,103,383,25,11189,110,9.8,283,64,22.6%,67,12,,,77,6.9,35,80,60,66,0,41,3,2,5,29,59,951637,0,5,0,19,36426.61,80,10,5784.95,145,11189,2809,5847,2354,11,168,,,,,,,8698,23,2064,0,0,23,3,11189,0,10,2,0,1,0,13,314,8,0,22,0,30,,,
236,WALLER,3804,3603,162,123,70,62,5,6,1,311,284,2,400,301,244,82,318,36,10387,89,8.6,228,53,23.2%,21,4,,,86,8.3,37,78,48,72,0,38,9,8,9,21,47,543249,0,1,3,40,24498.09,78,9,4924.41,138,10387,2638,4182,3511,5,51,,,,,,,7925,15,927,1,12,8,7,10387,0,18,0,0,0,0,18,49,4,0,2,0,6,,,
237,WARD,869,1658,74,60,51,63,1,1,0,124,113,1,137,104,80,16,121,1,2460,25,10.2,78,19,24.4%,34,12,,,21,8.5,3,19,5,18,0,4,6,3,0,13,7,100724,0,1,0,2,1530.00,19,1,35.00,39,2460,132,1103,1206,4,15,,,,,,,1993,3,198,0,0,5,0,2460,0,1,0,0,0,0,1,4,3,0,0,0,3,,,
238,WASHINGTON,2677,5666,118,93,60,57,230,220,26,267,237,4,343,259,238,41,302,12,7431,79,10.6,197,43,21.8%,39,5,,,39,5.2,15,40,26,34,0,16,0,9,5,10,29,193991,2,4,0,9,7640.50,40,4,1371.19,69,7431,1774,3991,1516,7,143,,,,,,,5849,11,1072,3,36,7,6,7431,0,6,1,0,0,0,7,46,198,0,15,0,213,,,
239,WEBB,19564,18636,799,663,369,597,28,28,4,2862,2191,21,3561,2633,2409,1128,2433,146,91533,781,8.5,1974,423,21.4%,1171,188,2,0,597,6.5,224,589,475,465,0,224,24,61,64,173,477,5688153,2,5,2,147,"$132,517.85",589,40,"$6,497.13",2349,91533,53,1960,88901,20,599,,,,,,,77004,94,6807,34,405,240,38,91533,2,77,2,0,0,0,81,390,370,0,158,49,577,,,
240,WHARTON,3572,5965,174,152,95,150,7,8,1,362,313,3,499,397,350,74,425,13,11407,86,7.5,271,54,19.9%,61,4,,,97,8.5,37,86,52,86,1,36,3,12,4,34,53,427885,0,3,0,25,"$13,356.51",86,10,"$4,273.95",166,11407,1875,4283,5193,3,53,,,,,,,9043,17,1855,2,24,32,2,11407,0,10,0,0,0,0,10,43,238,0,51,0,289,,,
241,WHEELER,392,1072,26,27,18,30,0,0,0,52,47,0,50,38,27,4,46,1,1098,10,9.1,31,8,25.8%,18,2,,,14,12.8,3,14,8,10,0,3,0,1,4,3,9,128963,0,0,0,4,14000.00,14,0,0.00,22,1098,58,769,257,1,13,,,,,,,851,1,80,0,0,1,0,1098,0,0,0,0,0,0,0,0,18,0,0,0,18,,,
242,WICHITA,9712,16093,1736,1447,1158,1055,313,312,31,1808,1524,14,2195,1513,1099,453,1742,93,31659,619,19.6,1302,364,28.0%,356,106,2,0,285,9.0,93,282,238,212,0,95,32,24,21,65,239,3221203,0,14,6,71,59467.13,282,28,5602.01,717,31659,4405,18924,7192,171,967,,,,,,,24778,53,4013,24,288,29,49,31659,4,48,1,0,0,0,53,168,450,0,160,0,610,,,
243,WILBARGER,1146,2477,177,162,122,128,410,411,33,185,155,1,260,178,145,72,188,5,3756,72,19.2,131,39,29.8%,35,4,,,14,3.7,5,15,15,12,0,5,0,6,1,1,15,161444,0,0,0,5,5498.02,15,3,236.82,89,3756,357,2105,1246,11,37,,,,,,,2961,7,410,2,24,8,7,3756,0,1,0,0,0,0,1,1,56,0,36,0,92,,,
244,WILLACY,1700,2484,157,139,73,87,0,0,0,293,276,1,498,314,265,169,329,13,6680,171,25.6,248,80,32.3%,173,69,,,74,11.1,16,71,63,68,0,16,18,10,1,36,64,581571,0,1,0,6,1357.57,71,0,0.00,291,6680,18,355,6292,2,13,,,,,,,5453,9,602,3,36,5,8,6680,0,2,0,0,0,0,2,8,129,0,0,0,129,,,
245,WILLIAMSON,36790,40110,896,672,416,452,68,56,8,3591,2821,21,3477,2688,2456,415,3062,121,108861,701,6.4,2191,470,21.5%,326,45,1,0,580,5.3,188,555,383,457,0,196,23,87,95,136,377,5225604,1,25,18,116,165315.77,555,69,22789.57,940,108861,7455,65531,32215,111,3549,,,,,,,77761,228,27923,59,706,196,126,108861,6,285,4,0,1,1,297,1062,580,0,39,0,619,,,
246,WILSON,4131,5420,116,113,63,61,0,0,0,353,296,3,393,281,230,86,307,27,11106,103,9.3,233,58,24.9%,71,9,,,57,5.1,39,55,25,51,0,38,0,4,5,9,28,277821,0,3,1,4,4610.00,55,5,1556.33,89,11106,74,5835,5146,6,45,,,,,,,8125,17,1261,1,12,7,7,11106,0,29,0,0,0,0,29,91,117,0,6,0,123,,,
247,WINKLER,570,1096,35,36,30,22,0,0,0,85,75,0,93,68,64,8,85,4,1633,20,12.2,62,13,21.0%,26,8,,,11,6.7,2,9,8,10,0,2,0,0,0,8,8,99847,0,1,0,2,1530.00,9,1,237.21,28,1633,33,700,895,1,4,,,,,,,1283,1,65,1,12,3,3,1633,0,1,0,0,0,0,1,5,1,0,0,0,1,,,
248,WISE,5114,7688,204,128,79,71,2,2,0,679,588,6,692,498,394,151,541,37,14405,171,11.9,422,102,24.2%,124,26,,,104,7.2,42,102,72,77,0,43,2,17,0,24,72,728039,1,3,2,39,3787.25,102,2,412.00,248,14405,100,10597,3594,24,90,,,,,,,10720,25,1505,0,0,16,7,14405,0,17,0,0,0,0,17,46,92,0,2,0,94,,,
249,WOOD,3257,12703,285,241,169,179,0,0,0,485,398,4,519,407,357,71,448,35,8143,102,12.5,336,72,21.4%,99,24,1,0,125,15.4,39,125,81,115,0,39,9,16,19,43,81,959816,2,9,1,41,48153.00,125,7,931.13,126,8143,345,6610,1154,4,30,,,,,,,6362,11,593,2,24,13,3,8143,0,21,1,0,0,0,22,123,35,0,0,1,36,,,
250,YOAKUM,637,1057,19,15,14,19,0,0,0,43,40,0,55,33,29,10,45,2,2471,22,8.9,35,12,34.3%,7,0,,,17,6.9,2,14,4,12,0,2,0,2,5,3,4,68419,0,1,1,0,0.00,14,0,0.00,24,2471,13,928,1529,0,1,,,,,,,2059,2,68,2,24,5,0,2471,0,3,0,0,0,0,3,4,8,0,0,0,8,,,
251,YOUNG,1366,3694,263,241,190,210,1,1,0,290,258,3,294,218,180,61,233,22,4394,67,15.2,177,41,23.2%,30,3,2,0,51,11.6,27,49,43,37,0,27,7,0,0,4,43,367161,0,6,0,4,611.55,49,2,487.00,98,4394,58,3348,967,4,17,,,,,,,3453,10,528,2,24,3,6,4394,0,9,0,0,0,0,9,21,26,0,0,0,26,,,
252,ZAPATA,1261,1881,63,49,19,25,0,0,0,178,164,0,262,164,133,89,173,15,4736,89,18.8,146,49,33.6%,124,35,,,69,14.6,22,70,53,56,0,22,8,7,1,26,54,790052,1,0,0,8,7715.00,70,7,1027.56,221,4736,4,142,4587,0,3,,,,,,,3768,5,309,0,0,4,0,4736,0,4,0,0,0,0,4,19,126,0,0,0,126,,,
253,ZAVALA,994,1480,45,38,17,17,0,0,0,190,178,0,221,161,153,41,180,8,3976,46,11.6,129,29,22.5%,27,7,,,46,11.6,12,46,37,25,0,12,1,8,3,4,40,668031,0,0,3,7,2165.00,46,8,591.23,71,3976,11,175,3788,0,2,,,,,,,3151,9,541,0,0,5,0,3976,0,3,0,0,0,0,3,0,66,0,1,1,68,,,
254,UNKNOWN,0,0,74,31,20,3,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0%,14,1,,,0,0.0,0,0,0,,,,,,,,0,0,0,0,0,0,0.00,0,0,0.00,9,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0
255,OUT OF STATE,0,0,0,0,0,28,,,,158,81,0,54,39,14,5,49,1,0,13,0.0,39,9,23.1%,,,,,0,0.0,0,0,0,85,0,0,0,0,0,2,,,19,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,0,0,0,0,64,108,0,0,0,0,0,0,0,0
256,STATE TOTAL,2097597,2581170,108580,87741,58068,60359,11511,10981,1355,255575,222541,2189,297971,223550,186215,50757,247214,12514,6663942,65948,9.9,175421,39263,22.4%,45450,9120,,,46063,6.9,17108,44780,31092,36441,84,17564,1918,5568,4635,11531,30673,380487624,213,1629,758,15186,"$15,302,365.22",44780,4665,"$1,143,315.30",92643,6663942,805252,2418551,3188151,10177,241811,,,,,,,5269573,9519,965718,1743,20771,7477,6302,6663942,350,10167,160,4,85,8,10774,42766,30168,19731,5720,1066,56685,,,
